,S1a,S1b,S2a,S2b,S3a,S3b,time
0,6.461857,3.6065292,3.5777874,3.0981848,4.320304,3.928727,0.0
1,6.32585,4.5124884,5.1154146,4.0776496,3.5955439,3.5944889,0.1
2,7.2582717,5.12877,4.11788,3.768692,4.4151554,4.499745,0.2
3,6.594208,4.8414626,4.7150517,3.7032723,4.5267124,3.739165,0.30000000000000004
4,5.3142805,5.8158207,4.1908493,4.781605,4.959308,3.3111074,0.4
5,4.457534,5.2388325,3.617272,3.8108845,4.75912,3.990756,0.5
6,4.1774945,5.9891777,4.5600133,3.4254947,4.0478067,3.990199,0.6000000000000001
7,5.3167725,5.574873,3.8634026,3.811592,4.30232,4.345718,0.7000000000000001
8,5.6759048,5.4630156,4.352794,4.8679867,3.612843,4.6610174,0.8
9,5.553496,5.299959,4.7468123,3.4093542,3.5397806,3.7477336,0.9
10,5.1882277,6.0742216,4.418317,3.9766865,4.8395023,3.9874303,1.0
11,5.5588126,5.976527,4.958083,5.507613,3.7262435,3.737779,1.1
12,5.6252904,5.414748,4.7072916,4.050569,3.6009302,3.4327993,1.2000000000000002
13,5.9958687,6.342153,4.222533,3.6812453,3.8090844,4.27102,1.3
14,5.4123535,5.8238297,4.5717273,4.8340154,2.9451635,3.0912986,1.4000000000000001
15,5.5858536,5.825738,4.0308056,4.7122993,3.844001,3.6870325,1.5
16,5.374661,6.1612706,4.403679,3.2440486,3.139578,3.6592185,1.6
17,4.95711,6.3545055,4.646656,4.3048835,3.3649006,4.768353,1.7000000000000002
18,5.310371,5.376071,4.264687,4.301681,3.810191,4.4904194,1.8
19,5.0461607,6.0285907,4.767392,4.587124,3.3941033,4.1451936,1.9000000000000001
20,5.3825874,5.960539,4.695388,3.8973746,4.047317,4.2626925,2.0
21,6.082351,5.4833946,4.707889,4.0989714,4.228416,3.653369,2.1
22,5.551773,5.5330772,5.3148518,3.7071772,4.6318336,4.615546,2.2
23,5.5457773,5.544398,4.16201,3.7008004,3.523994,4.9598885,2.3000000000000003
24,4.5718107,6.2284794,4.8184686,4.879073,3.610783,4.303596,2.4000000000000004
25,5.17565,5.3140426,4.9924316,5.3677397,4.1946387,4.6534724,2.5
26,6.054324,6.491565,4.680005,3.8622541,2.8661892,3.8114467,2.6
27,5.896299,5.195798,4.678467,3.5874054,3.8289022,4.2715545,2.7
28,6.49605,5.9049797,3.7862515,3.466455,4.562122,3.4318256,2.8000000000000003
29,6.1255503,5.7916784,4.570157,4.239662,4.2215104,4.557731,2.9000000000000004
30,4.924122,6.0660315,5.3378415,3.0786874,3.4671447,3.7204328,3.0
31,6.121748,5.412409,4.8340335,3.2796142,3.4042552,4.234825,3.1
32,6.057172,5.9592085,4.726115,4.819005,3.6051726,4.334763,3.2
33,6.0747814,6.0127444,4.8947663,4.380682,4.280401,4.546665,3.3000000000000003
34,5.7041383,5.305049,4.817917,3.7296448,5.2360272,4.3891397,3.4000000000000004
35,5.576744,5.956773,4.7535853,3.2276645,4.9435134,4.0751834,3.5
36,5.055401,5.771312,4.6496334,4.306336,3.9146895,3.7295876,3.6
37,6.4703918,6.1636014,3.9080257,4.8130016,4.039713,3.8140728,3.7
38,5.644524,7.4851303,5.483449,3.41387,2.4236817,3.5309253,3.8000000000000003
39,6.5645547,6.4371486,4.7031813,3.985928,4.6226497,5.7459545,3.9000000000000004
40,6.027938,6.2587256,4.502048,4.7264786,4.3697352,4.7813597,4.0
41,5.2527285,6.234912,5.05352,4.2233877,4.742033,4.784345,4.1000000000000005
42,6.795883,7.007132,4.979939,4.4950857,3.8056996,4.272759,4.2
43,6.725622,6.961732,4.532718,3.7581217,4.547133,4.866334,4.3
44,7.3907256,6.7927237,4.7947164,4.0231194,4.293302,5.052865,4.4
45,6.3791084,6.7360663,4.2968135,2.3612747,4.4501157,4.2446604,4.5
46,6.0892944,6.391749,4.9456186,4.0460277,3.6045048,4.3491755,4.6000000000000005
47,7.00926,7.0523767,5.1001873,2.8309753,3.905788,4.395087,4.7
48,7.3127756,6.629842,4.424798,3.3422766,3.9683938,4.1524606,4.800000000000001
49,6.5920134,6.884679,4.656853,4.0149693,4.0285673,3.8813841,4.9
50,7.2795258,6.822266,5.107918,2.9160948,3.4400883,3.8113914,5.0
51,7.113686,6.710473,5.226855,4.655712,4.068578,3.498448,5.1000000000000005
52,6.697068,7.078931,4.8742094,4.8087053,4.1363955,3.6676517,5.2
53,6.465063,6.8236313,4.061236,4.2254095,4.203811,3.9775727,5.300000000000001
54,6.199949,6.7512445,3.87009,3.2306755,3.3783624,3.1911054,5.4
55,5.870756,6.9104156,4.1458006,4.071547,3.7423728,4.3288903,5.5
56,6.574569,6.6802025,3.6979718,2.9862566,3.923428,4.127956,5.6000000000000005
57,6.3418484,6.8913975,4.483762,4.3600693,4.518265,4.714134,5.7
58,6.38408,7.3474503,5.3120117,4.3012695,3.1828573,4.2709146,5.800000000000001
59,6.7031345,6.9961863,4.5011516,3.4876556,3.8973162,4.992481,5.9
60,5.499432,7.6291046,4.4565535,4.1121025,4.7058177,3.7471664,6.0
61,6.7083573,6.6295967,4.619627,3.987799,4.0098658,4.5032096,6.1000000000000005
62,5.760534,7.7429104,4.4493337,3.1617737,4.1283493,2.9622629,6.2
63,5.99016,8.1490345,4.3318677,3.3428054,4.1038594,3.5982618,6.300000000000001
64,7.233072,7.113161,5.023742,4.5327983,5.0142765,3.3439312,6.4
65,7.05765,6.262533,4.2969527,3.5734746,4.0365524,4.0141993,6.5
66,6.657882,6.8123155,4.6364093,3.7432485,3.5067348,3.2313218,6.6000000000000005
67,6.955128,7.5728664,4.807704,3.8801062,4.2650256,4.2597065,6.7
68,5.900244,6.556847,4.7311444,4.39974,3.5536609,4.357609,6.800000000000001
69,6.9951105,6.787526,4.391418,4.7309494,4.9908786,3.297913,6.9
70,7.280403,7.343607,4.3406568,3.78543,3.8283598,4.0511074,7.0
71,6.566412,6.8192143,4.658403,4.338954,3.3858504,4.4242954,7.1000000000000005
72,6.658356,6.655282,4.6175666,4.0065064,4.803747,3.753917,7.2
73,6.628409,7.000983,4.1853766,3.959115,3.8492181,4.0649967,7.300000000000001
74,7.051057,7.856922,4.337763,3.8796172,4.2078924,4.042326,7.4
75,7.033775,7.497281,4.891628,4.5851283,3.8387692,4.2983036,7.5
76,6.58871,6.6286383,4.842948,4.410885,3.7304797,4.7082477,7.6000000000000005
77,6.5771723,6.730155,5.071463,3.3835378,3.7370605,4.9066095,7.7
78,6.956176,6.595046,4.3867464,3.416667,4.224543,4.3653173,7.800000000000001
79,6.7653155,6.9666076,4.6866937,4.399033,4.008606,4.8986807,7.9
80,7.001706,6.463983,4.8319817,3.3401797,3.8073218,3.311049,8.0
81,7.0607495,6.846237,4.876631,3.118664,3.4174066,5.061823,8.1
